<openmm.openmm.HarmonicBondForce; proxy of <Swig Object of type 'OpenMM::HarmonicBondForce *' at 0x2b7bce027b40> >
<openmm.openmm.HarmonicAngleForce; proxy of <Swig Object of type 'OpenMM::HarmonicAngleForce *' at 0x2b7bce027ab0> >
<openmm.openmm.NonbondedForce; proxy of <Swig Object of type 'OpenMM::NonbondedForce *' at 0x2b7bce027f90> >
<openmm.openmm.CMMotionRemover; proxy of <Swig Object of type 'OpenMM::CMMotionRemover *' at 0x2b7bce027b40> >
<openmm.openmm.MonteCarloBarostat; proxy of <Swig Object of type 'OpenMM::MonteCarloBarostat *' at 0x2b7bce027ab0> >
#"Progress (%)"	"Step"	"Total Energy (kJ/mole)"	"Temperature (K)"	"Box Volume (nm^3)"	"Density (g/mL)"
1.0%	10000	-32486.333871743118	297.0892097012239	30.447730648369074	0.9785783070880804
2.0%	20000	-32611.042806079553	295.8946589790374	30.665882243607403	0.9716168762360007
3.0%	30000	-32564.343069149007	287.752025703868	30.331977993038187	0.9823127499101293
4.0%	40000	-31839.751278202573	297.37381072228004	30.432205191573026	0.9790775438385098
5.0%	50000	-32171.047862330393	291.01021575545735	30.79316916567728	0.9676005919444481
6.0%	60000	-32899.364328052325	290.06743933592446	30.10852322875469	0.9896031262037831
7.0%	70000	-32679.665401839593	291.5296475711349	30.446484073539544	0.9786183731621595
8.0%	80000	-32833.33992271306	294.6355197148608	30.312747454039165	0.9829359333967144
9.0%	90000	-32300.385238591756	301.79015661248343	30.439204833417687	0.9788524002389144
10.0%	100000	-32064.35904492013	302.03221428845285	30.282501077696615	0.9839176967618293
11.0%	110000	-32072.052984066948	306.4008387033987	30.203178932478306	0.9865017447059176
12.0%	120000	-31865.883964549226	297.7315445081626	30.852079808911068	0.9657530026208792
13.0%	130000	-32249.148697929864	305.85834599273414	30.300542400914413	0.9833318598169944
14.0%	140000	-32264.45513892168	305.81013774027235	30.319379843407372	0.9827209153499087
15.0%	150000	-32165.064989764185	305.5615647712524	30.37945543329471	0.9807775777277482
16.0%	160000	-32013.001559767814	306.8993880248701	30.654204068092405	0.9719870281534607
17.0%	170000	-32436.90909793222	299.842295811156	30.206892830196978	0.9863804556147249
18.0%	180000	-32202.861815439945	300.09527077856535	30.310650626575796	0.9830039308503247
19.0%	190000	-32210.23860126728	308.4352802349424	29.910991830941366	0.9961384390380855
20.0%	200000	-32364.233297158906	307.774151943343	30.4841842936115	0.9774081020366695
21.0%	210000	-32654.90208522085	290.94938597753554	30.345150994815764	0.981886322386242
22.0%	220000	-32325.559399445483	294.6820549583558	30.179505746811728	0.9872755691402456
23.0%	230000	-31873.52403420856	310.6966367879876	30.34962347747213	0.9817416263721167
24.0%	240000	-32448.169967573544	289.3170202023974	30.26981664037061	0.9843300032685649
25.0%	250000	-32390.934733104834	307.3557686208569	30.32629012263898	0.9824969883247321
26.0%	260000	-32601.60290208686	295.5071377054986	30.21016955853959	0.9862734684364752
27.0%	270000	-32531.961102213652	297.8479955463243	30.29227066971224	0.9836003724324937
28.0%	280000	-32081.738238224236	292.4403855090281	30.567274264789134	0.9747512471819152
29.0%	290000	-32408.078985806496	294.6095316601185	30.377915233844856	0.9808273044148502
30.0%	300000	-32234.26774372597	303.01626289140313	30.026064667699206	0.9923208066825893
31.0%	310000	-31954.720269727462	313.1119762842491	30.39574848681892	0.9802518508624865
32.0%	320000	-32337.5350345177	305.4627203567141	29.99374973853016	0.9933899219769574
33.0%	330000	-32649.510703297856	297.2664586307052	30.475507284339006	0.9776863904039559
34.0%	340000	-32450.089111799316	300.5781907081632	30.037166185942464	0.9919540521269045
35.0%	350000	-32219.444579494128	299.6753741101633	30.56924291951846	0.9746884733455551
36.0%	360000	-32256.810890190245	302.900001770853	30.340827749442706	0.9820262307478457
37.0%	370000	-32669.47094395192	296.597908418764	29.613379811616852	1.0061495480116247
38.0%	380000	-31895.679918485635	308.944189872351	30.273847618639767	0.9841989392260013
39.0%	390000	-32307.987734514463	304.6296102851232	30.030987469544854	0.9921581414121393
40.0%	400000	-32382.58773177018	303.0373558376293	30.137140409479052	0.9886634334816741
41.0%	410000	-31967.08080533141	305.5319823400776	30.139290027619165	0.9885929192509431
42.0%	420000	-32372.225087520375	299.11222511430856	30.60500804278764	0.9735494488646753
43.0%	430000	-32416.031711657706	305.39489515968154	30.183890991353337	0.9871321335307718
44.0%	440000	-32565.605807285465	296.16899185615546	29.998589828981462	0.9932296445404781
45.0%	450000	-32053.75251443492	307.7393985173892	30.2946109661315	0.9835243880789676
46.0%	460000	-32510.73140966188	293.798582314276	30.246782097164758	0.9850796232418986
47.0%	470000	-32278.38185413595	292.06900747552874	30.33120882126546	0.9823376604649202
48.0%	480000	-32077.946902760246	309.03852265285417	30.53831300337659	0.9756756605795613
49.0%	490000	-32081.470746763924	299.17847119014755	30.64898262108117	0.9721526186014653
50.0%	500000	-31578.364501581003	315.57849158362876	30.519165460340922	0.9762877936906086
51.0%	510000	-32822.83321303589	294.35514436393845	30.278166580067264	0.9840585503671099
52.0%	520000	-32089.002018691914	306.25564664833627	30.307147421845738	0.9831175563252758
53.0%	530000	-32137.612747377192	299.3432793285064	30.12956322955248	0.9889120690382283
54.0%	540000	-32329.80462534161	303.260185149823	29.93562795555688	0.9953186469577298
55.0%	550000	-32436.89471129136	294.24129043059463	30.540581973600677	0.9756031741081467
56.0%	560000	-32392.988975587243	297.63670348231494	30.70014152828087	0.970532617418306
57.0%	570000	-32293.41532363923	300.63552951783856	30.345227591606076	0.9818838439292747
58.0%	580000	-31939.704799846688	302.5367921595026	31.09518620732568	0.9582026141890533
59.0%	590000	-32435.829763634538	301.96606373951244	30.271427970027247	0.9842776079825628
60.0%	600000	-32202.103159959253	298.4790757386892	30.022870757445602	0.9924263723236942
61.0%	610000	-32432.91775591619	301.00857689905894	29.97822489651703	0.9939043694350498
62.0%	620000	-32781.06366046466	295.8321526171861	29.68688702758606	1.0036582375534318
63.0%	630000	-32079.346137841174	298.9085071299843	30.286169940714082	0.9837985050892953
64.0%	640000	-32049.819830581488	300.6444092162565	30.53791809789346	0.9756882776697928
65.0%	650000	-32493.63666516164	290.14330829291686	30.068302562334168	0.9909268622924844
66.0%	660000	-32415.13748927851	302.6275979111216	30.076656109286183	0.9906516404047819
67.0%	670000	-32239.649588651897	308.7270615165949	30.11742332953692	0.9893106852648205
68.0%	680000	-32703.14390065515	290.20153716821466	30.54006660414507	0.9756196375980023
69.0%	690000	-32151.58178158378	300.09018780087786	30.552481864707705	0.9752231862699419
70.0%	700000	-32144.3203465924	297.57742324586627	30.9060201573183	0.9640674716734607
71.0%	710000	-32445.382420839684	297.284209825852	30.30546211543196	0.9831722281305385
72.0%	720000	-32426.05656429002	298.6300845234343	30.593186290279053	0.9739256457253144
73.0%	730000	-31975.08336875908	308.9172448668804	30.213750212197734	0.9861565844456472
74.0%	740000	-32552.5536155132	292.91220724093404	29.892522725853226	0.9967539035032851
75.0%	750000	-32469.836163283733	297.61579978470184	29.9839032282095	0.9937161444852393
76.0%	760000	-32219.88200099388	306.491414804083	30.476692786168194	0.9776483597353288
77.0%	770000	-32122.618070152646	306.43471406417217	30.47210821429364	0.9777954483168516
