<openmm.openmm.HarmonicBondForce; proxy of <Swig Object of type 'OpenMM::HarmonicBondForce *' at 0x2af9aae63a20> >
<openmm.openmm.HarmonicAngleForce; proxy of <Swig Object of type 'OpenMM::HarmonicAngleForce *' at 0x2af9aae63a50> >
<openmm.openmm.NonbondedForce; proxy of <Swig Object of type 'OpenMM::NonbondedForce *' at 0x2af9aae63f90> >
<openmm.openmm.CMMotionRemover; proxy of <Swig Object of type 'OpenMM::CMMotionRemover *' at 0x2af9aae63a20> >
<openmm.openmm.MonteCarloBarostat; proxy of <Swig Object of type 'OpenMM::MonteCarloBarostat *' at 0x2af9aae63a50> >
#"Progress (%)"	"Step"	"Total Energy (kJ/mole)"	"Temperature (K)"	"Box Volume (nm^3)"	"Density (g/mL)"
0.1%	10000	-32387.7958673322	300.51952423615205	30.53198296955851	0.9758779422306779
0.2%	20000	-32207.106578961422	303.2876676298252	30.156855917940725	0.988017079553347
0.3%	30000	-32277.623506734555	301.964931367134	30.23422430773776	0.9854887762054934
0.4%	40000	-32389.15585447516	298.48135837565775	29.966903342139723	0.9942798684392653
0.5%	50000	-32116.362596962543	302.91931394006133	30.102858251279578	0.9897893570052723
0.6%	60000	-32057.165851815545	301.2276326302539	30.51133266156045	0.9765384240358849
0.7%	70000	-32192.983193171618	307.8112818894675	29.940985981437088	0.9951405318123984
0.8%	80000	-33098.899488037394	291.0665310976472	30.248566038158756	0.9850215271351267
0.9%	90000	-32458.57814636425	299.50135606604255	30.320099159917337	0.9826976011986135
1.0%	100000	-32581.705715933815	295.7295272362574	30.424573599423777	0.9793231321775754
1.1%	110000	-32738.09620953485	297.84570075376905	30.179698871958692	0.9872692513920072
1.2%	120000	-32280.7601609751	307.5068972736462	30.421738394868026	0.9794144018272536
1.3%	130000	-32037.52632784698	305.20948318481805	30.39329539966984	0.980330968417414
1.4%	140000	-32450.92530910502	302.9255978980724	30.513134085095935	0.9764807715084369
1.5%	150000	-32528.175556369533	295.30285172629397	30.28181605870756	0.9839399544198456
1.6%	160000	-32496.60789515503	298.8639861294303	30.43918006319089	0.9788531967911177
1.7%	170000	-31801.05331825366	306.2466589603648	30.276715192777285	0.9841057235846635
1.8%	180000	-32199.410741317028	304.11169183871857	30.87649965513333	0.964989200373989
1.9%	190000	-31959.320184654498	298.8233450475697	31.07127356092159	0.9589400529120479
2.0%	200000	-32430.777190331544	293.2788657682912	30.697191527888126	0.970625885611911
2.1%	210000	-32397.766457256803	297.50156646013346	30.896371832345846	0.9643685308500058
2.2%	220000	-32250.903758682718	306.96121768407124	30.28515140490695	0.9838315917326816
2.3%	230000	-31926.097714011732	295.26697308566014	30.367921285945634	0.9811500903206144
2.4%	240000	-32079.42266414076	295.24633568942374	30.94529088126244	0.9628440342306239
2.5%	250000	-32322.50790827241	296.90538161078325	30.13304145893659	0.9887979198236023
2.6%	260000	-32200.13073031226	303.0670867070276	30.20513009781844	0.9864380195040721
2.7%	270000	-32073.48962234537	306.2152446149201	30.454245296500716	0.9783689736018004
2.8%	280000	-32502.92542486306	290.1354548604555	30.001761524853038	0.9931246432937846
2.9%	290000	-32458.11972225021	298.99502310811636	29.90904613189787	0.9962032416934254
3.0%	300000	-32444.3472100356	290.7470896155104	30.54410614331508	0.9754906093094475
3.1%	310000	-32060.960194217332	296.4699743033099	30.93063382349466	0.9633002958355948
3.2%	320000	-32289.107583850564	299.425919042632	30.45562016431139	0.9783248067780251
3.3%	330000	-31901.456700275594	306.40912099610637	30.359120892121	0.9814345026139272
3.4%	340000	-32402.40052093583	302.0160712127188	30.236419720855828	0.9854172216032301
3.5%	350000	-32093.266274549474	305.8013831843014	29.937681892217718	0.9952503610608604
