<openmm.openmm.HarmonicBondForce; proxy of <Swig Object of type 'OpenMM::HarmonicBondForce *' at 0x2b711c5cb930> >
<openmm.openmm.HarmonicAngleForce; proxy of <Swig Object of type 'OpenMM::HarmonicAngleForce *' at 0x2b711c5cba50> >
<openmm.openmm.NonbondedForce; proxy of <Swig Object of type 'OpenMM::NonbondedForce *' at 0x2b711c5cbde0> >
<openmm.openmm.CMMotionRemover; proxy of <Swig Object of type 'OpenMM::CMMotionRemover *' at 0x2b711c5cb930> >
<openmm.openmm.MonteCarloBarostat; proxy of <Swig Object of type 'OpenMM::MonteCarloBarostat *' at 0x2b711c5cba50> >
#"Progress (%)"	"Step"	"Total Energy (kJ/mole)"	"Temperature (K)"	"Box Volume (nm^3)"	"Density (g/mL)"
1.0%	10000	-31704.05500176683	304.7577853271556	30.331449731095056	0.9823298581738829
2.0%	20000	-31805.130796183774	302.7543467339317	30.292016867965053	0.983608613530937
3.0%	30000	-31542.022394036787	312.9141803395905	30.48977243694035	0.9772289633902183
4.0%	40000	-31990.254565632145	302.19247591437266	30.705289108369993	0.9703699127337925
5.0%	50000	-32194.359090657847	301.7276553780247	30.12640614142928	0.9890157017959291
6.0%	60000	-31776.379598635656	302.22079084162175	30.822879190605065	0.9666679263901031
7.0%	70000	-31868.698501461593	308.98685975833735	30.23255203402915	0.985543287216298
8.0%	80000	-31849.232080750226	297.31858057966275	30.62223820749092	0.973001663388086
9.0%	90000	-32141.422140016162	299.43212873812723	30.274407123726945	0.9841807501228739
10.0%	100000	-31797.83401562943	320.0159328116103	30.03656257175311	0.9919739864166428
11.0%	110000	-31969.972286133037	301.56200873260286	30.277515460773994	0.984079712589244
12.0%	120000	-32017.596800545172	307.60031264588423	30.1060019712059	0.9896860015173048
13.0%	130000	-32217.762246550003	304.8947959460538	30.041839623182405	0.9917997395060508
14.0%	140000	-31573.32019856613	306.28247566447425	30.3245816268921	0.9825523424907524
15.0%	150000	-31838.96824672405	304.48063356392197	30.29063236559271	0.9836535716038639
16.0%	160000	-31566.54554812581	306.4646924279774	30.91025369032228	0.9639354309758887
17.0%	170000	-32009.304144084395	303.5232310901583	30.111095573700517	0.9895185859188296
18.0%	180000	-32176.126067560923	304.0054864463446	30.107001041615288	0.9896531597873254
19.0%	190000	-31963.711619418988	309.2317390270172	30.385717884965	    0.9805754409145561
20.0%	200000	-31297.654208194406	316.2659214234595	30.79057654427537	0.9676820656381793
21.0%	210000	-31480.69069938053	312.96025935714783	30.349140661748947	0.9817572446164221
22.0%	220000	-31708.763412482745	305.5906996480814	30.401512296146965	0.9800660053457635
23.0%	230000	-31397.730434050667	309.5808444026651	30.357515427445247	0.981486406019174
24.0%	240000	-31717.8921773936	300.44265262007497	31.131706014151682	0.9570785712485718
25.0%	250000	-31813.98937775282	301.7853334691046	30.721861017723114	0.9698464782249409
26.0%	260000	-31658.100837039936	305.5827741345322	30.84343536749217	0.9660236727053496
27.0%	270000	-31977.886419603543	306.45096484873955	30.11304546411402	0.9894545122665327
28.0%	280000	-31570.98970960261	320.0549687126994	30.367003499520226	0.9811797437644978
29.0%	290000	-31439.678054149903	307.4120408583824	30.35856351866525	0.9814525214355353
30.0%	300000	-31772.364409101487	300.58535218682044	30.492893381621048	0.9771289441005776
31.0%	310000	-31883.01545795513	305.3408049666297	30.836020968779888	0.966255949258871
32.0%	320000	-31964.3438314448	309.2314485842484	30.06068520478616	0.9911779624973729
33.0%	330000	-31964.130368818936	303.2130872979143	30.164132798348007	0.9877787275285657
34.0%	340000	-31465.078576126078	310.73911703543683	30.740107172942697	0.9692708143444834
35.0%	350000	-31888.44851091964	299.6437532766853	30.216516226611247	0.9860663118508152
36.0%	360000	-31321.06000349106	309.24665440702034	30.428696728800887	0.9791904325745675
37.0%	370000	-31964.928256571235	300.67842694244615	30.827897313903165	0.9665105734966007
38.0%	380000	-31749.90695777064	299.3981313998747	30.98545054215308	0.9615961101492013
39.0%	390000	-31369.902628358628	306.49624734993637	30.50631262729769	0.9766991204926301
40.0%	400000	-31914.711927988043	311.34600707570837	30.12944910398715	0.9889158148799975
41.0%	410000	-31990.423133992765	306.4545202876563	30.385888951354367	0.9805699204737865
42.0%	420000	-32019.558921817166	299.9268741226786	30.23555775209686	0.9854453143166683
43.0%	430000	-32307.28825531638	299.86415213989545	30.33116581264196	0.9823390533883197
44.0%	440000	-31859.257450113946	306.4611927103243	30.384331630958343	0.9806201786646012
45.0%	450000	-31823.246076574957	306.3018212096525	30.38026194683909	0.9807515407435429
46.0%	460000	-32167.9274717448	301.5071809853182	30.190649220843433	0.9869111622808114
47.0%	470000	-31970.246538917476	304.4165691663037	30.067816094425577	0.9909428945216543
48.0%	480000	-31710.930096448807	308.6515813896264	30.185165438714225	0.9870904558416109
49.0%	490000	-31889.751717484964	301.8515370382973	30.87800542312243	0.9649421426114217
50.0%	500000	-31945.86779025098	298.74340085701306	31.320355002550276	0.9513138886876842
51.0%	510000	-31809.10589737672	297.6515015613364	30.776746196343236	0.9681169192633833
52.0%	520000	-31542.174175617693	309.2294714632731	30.91277314303107	0.9638568683143821
53.0%	530000	-31899.60259674018	312.40629180212284	30.51800205506908	0.9763250116698183
54.0%	540000	-32232.67318718898	307.31910783973717	30.1468026021777	0.9883465621791194
55.0%	550000	-31782.280946907995	309.43408261587604	29.986434795013626	0.9936322512574749
56.0%	560000	-31720.83429037122	301.78465739798446	30.434724921148387	0.9789964847637137
57.0%	570000	-31462.90477162128	313.9647309657195	30.54154013592148	0.9755725670661531
58.0%	580000	-31752.76241258782	309.58144431315174	30.268343260507812	0.9843779177511212
59.0%	590000	-32070.39872126974	308.2809580975047	30.809008770890223	0.9671031266902367
60.0%	600000	-32188.51448226528	291.8925102358197	30.922664673644224	0.9635485501335184
61.0%	610000	-31836.074178189214	307.4539791605009	30.32798038440953	0.9824422310650003
62.0%	620000	-32058.28433239361	309.28040924104647	30.183515303215223	0.987144420165698
63.0%	630000	-31971.469442477362	303.8374917639369	30.423867680637603	0.979345855212135
64.0%	640000	-32113.049699272902	307.6393352670952	30.408756515270692	0.9798325261209593
65.0%	650000	-31831.349930154684	309.7018820827789	30.123439832148122	0.9891130919503004
66.0%	660000	-32332.602808855416	305.0994306169015	30.027658134961	    0.9922681475404229
67.0%	670000	-31676.43914417027	308.164177410197	30.375343120548337	0.980910358586165
68.0%	680000	-32066.429273002956	302.839860244697	30.784479447210867	0.967873722329724
69.0%	690000	-32432.16372804431	298.6358368260148	30.204144306314078	0.9864702144972276
70.0%	700000	-31957.058639786148	296.8970460493878	30.540735919900747	0.9755982563976047
71.0%	710000	-31981.577223223692	301.34446690717465	30.778659194305472	0.9680567475163926
72.0%	720000	-32043.687860459497	304.00803192330557	30.787271070723605	0.9677859607663686
73.0%	730000	-31681.59415346099	311.1172982900377	30.40485014028161	0.9799584137098102
74.0%	740000	-32029.72269942968	306.21970163558285	30.423975953917573	0.9793423699021238
75.0%	750000	-31892.47441917687	304.86800307400034	30.96554799319247	0.9622141587516929
76.0%	760000	-31618.250914963835	302.72496855381553	30.9482127299764	0.962753131255783
77.0%	770000	-31881.022798472026	309.5275397907028	30.18695882498593	0.9870318134827466
