<openmm.openmm.HarmonicBondForce; proxy of <Swig Object of type 'OpenMM::HarmonicBondForce *' at 0x2b1d4c9aba20> >
<openmm.openmm.HarmonicAngleForce; proxy of <Swig Object of type 'OpenMM::HarmonicAngleForce *' at 0x2b1d4c9abdb0> >
<openmm.openmm.NonbondedForce; proxy of <Swig Object of type 'OpenMM::NonbondedForce *' at 0x2b1d4c9abf90> >
<openmm.openmm.CMMotionRemover; proxy of <Swig Object of type 'OpenMM::CMMotionRemover *' at 0x2b1d4c9aba20> >
<openmm.openmm.MonteCarloBarostat; proxy of <Swig Object of type 'OpenMM::MonteCarloBarostat *' at 0x2b1d4c9abdb0> >
#"Progress (%)"	"Step"	"Total Energy (kJ/mole)"	"Temperature (K)"	"Box Volume (nm^3)"	"Density (g/mL)"
0.1%	10000	-31915.285158331448	306.6828313948236	30.294558956701188	0.98352607658492
0.2%	20000	-31478.578873519364	309.56807054550956	30.713064416015815	0.9701242542576615
0.3%	30000	-31030.015480320668	316.20732475921545	31.01051811323492	0.960818797149942
0.4%	40000	-30983.491847781406	314.97179996103415	30.70510219268157	0.9703758198094027
0.5%	50000	-31235.86087992083	314.4390654289321	30.562711734270504	0.9748967621595129
0.6%	60000	-31550.000751604617	313.2919727585638	30.232910196690863	0.985531611700951
0.7%	70000	-31076.058122393617	319.3638139373768	30.9167103510717	0.9637341222340633
0.8%	80000	-31194.99708123383	307.7201105689267	31.34921051800109	0.9504382477334138
0.9%	90000	-31742.240735901112	306.2718322825267	30.578608129535787	0.9743899587036954
1.0%	100000	-31385.103909221652	307.52451634822256	30.440469284051144	0.9788117402042088
1.1%	110000	-31312.275676683	313.9246238680561	30.278850269069366	0.9840363305667431
1.2%	120000	-31586.434336603095	305.0583923222197	30.27292515486377	0.9842289293199605
1.3%	130000	-31460.01832274528	309.3968360077821	30.50587029858749	0.9767132824246774
1.4%	140000	-31350.920754261722	316.2098810676361	30.651826515914323	0.9720624216989205
1.5%	150000	-31570.87271760864	308.8703541994677	30.55804677577002	0.9750455888489638
1.6%	160000	-31571.1930073385	305.64513351628966	30.763334158187515	0.9685389938341562
1.7%	170000	-30981.67836472408	319.03616621457417	30.604412766409187	0.9735683850551715
1.8%	180000	-31467.678473956825	314.48102004134785	30.571204949987422	0.9746259187787468
1.9%	190000	-31140.340660095622	313.8339118356667	30.82870392130578	0.9664852855511432
2.0%	200000	-31514.876207911933	305.79129269565965	30.796564291690828	0.9674939201121839
2.1%	210000	-31858.77329743473	299.2795518922604	30.3268268730213	0.9824795992442218
2.2%	220000	-31506.550619104353	307.99482455357327	30.908190523059602	0.9639997750863292
2.3%	230000	-31594.389056463202	317.2469033345481	30.285395878772174	0.9838236499143571
2.4%	240000	-31467.107413571735	312.59109736023515	30.317677811450533	0.9827760852218553
2.5%	250000	-31509.42982143484	311.79406767156354	31.051044096580277	0.9595647933731256
2.6%	260000	-31625.961068389413	314.52375490796743	30.289237007934997	0.9836988863321058
2.7%	270000	-31714.341986199317	309.5323044636206	30.999734543086632	0.9611530276538989
2.8%	280000	-31521.05856801587	322.2822581474772	30.376797247976338	0.980863402725572
2.9%	290000	-31549.948591323977	306.43461756553864	30.464168322733883	0.9780502916378643
3.0%	300000	-31063.301324430446	314.29862406606327	30.58348024637493	0.974234733016905
3.1%	310000	-31556.93518174434	309.2529397298176	30.858536368670162	0.9655509372377563
3.2%	320000	-31332.343635266123	304.4290194049504	30.681517983355455	0.971121726399546
3.3%	330000	-31604.244003408414	318.88124427864517	29.913749217126448	0.9960466171019488
3.4%	340000	-31647.69896117499	308.16504055997694	30.646680087224873	0.9722256579751086
3.5%	350000	-31580.867339202145	304.37269078737364	30.588573375870972	0.9740725187287841
3.6%	360000	-31039.88237134629	310.3304550024424	30.55125864367746	0.9752622325666767
3.7%	370000	-31557.32202938007	316.9947563425459	30.512578030786436	0.976498566672798
3.8%	380000	-31659.405892260547	310.6246260843266	30.63332010984893	0.9726496705453517
3.9%	390000	-31848.601628225937	307.2905271558705	30.693086640189254	0.9707556969373331
4.0%	400000	-31514.71598090598	313.7709739018406	31.037654282217222	0.9599787548901836
4.1%	410000	-31933.245476833486	291.7095345814276	30.3668121576722	0.9811859261963067
4.2%	420000	-32481.400593075843	299.3858027160916	29.78914601472976	1.0002129197601695
4.3%	430000	-32218.34823236562	299.8466347402297	30.84180801665205	0.9660746444069602
4.4%	440000	-31879.068184569885	302.6756949611617	30.48862486655951	0.9772657456005867
4.5%	450000	-32011.049292553274	300.8201678632473	30.397186746118013	0.9802054697170292
4.6%	460000	-31633.292667706613	311.85748214076506	30.174465054240585	0.987440495100593
4.7%	470000	-31464.29144585872	310.1510049633294	30.47462266628425	0.9777147707072105
4.8%	480000	-32228.919804259145	306.4898923906419	30.362827496305687	0.9813146919923761
4.9%	490000	-31785.345084997767	304.48433503379505	30.372626432624752	0.980998096382934
5.0%	500000	-31915.70372170309	299.9210427403616	30.243010268690693	0.9852024797743388
5.1%	510000	-32209.126375734748	306.70558639267426	30.647404296186934	0.9722026839402494
5.2%	520000	-31735.657852908305	296.4626434408587	30.22944516076555	0.9856445777981426
5.3%	530000	-32057.34502769442	303.9589134733767	30.84189143782851	0.9660720313673692
5.4%	540000	-31725.53210078174	304.08666844472924	30.412067097661485	0.9797258639760783
5.5%	550000	-31856.94072023587	306.15932298810003	30.404421111439873	0.9799722416469263
5.6%	560000	-31767.708307111578	301.71296247969644	30.520443266902056	0.976246919220424
5.7%	570000	-31888.804875513946	308.81016132277114	30.62907204098688	0.972784571229695
5.8%	580000	-31760.82784388907	311.0695028483714	30.060798721271556	0.9911742195815658
5.9%	590000	-31776.37975621404	316.8049150248032	30.255623938831864	0.9847917455872911
6.0%	600000	-31635.683261346014	312.06450670026777	30.78578492132721	0.9678326795531431
6.1%	610000	-31478.904441005492	314.55938566398413	30.629034564561977	0.9727857614888219
6.2%	620000	-32017.615169552795	299.93656466604824	30.264694912867892	0.9844965825142507
6.3%	630000	-31800.496808885655	302.50741336487965	30.178599443005155	0.987305218349386
6.4%	640000	-32343.411753975728	304.32056210389095	29.662681372057552	1.004477253382171
6.5%	650000	-31915.23412488788	298.1698736995607	31.103781190023824	0.9579378317550479
