<openmm.openmm.HarmonicBondForce; proxy of <Swig Object of type 'OpenMM::HarmonicBondForce *' at 0x2b86dc45ba50> >
<openmm.openmm.HarmonicAngleForce; proxy of <Swig Object of type 'OpenMM::HarmonicAngleForce *' at 0x2b86dc45be10> >
<openmm.openmm.NonbondedForce; proxy of <Swig Object of type 'OpenMM::NonbondedForce *' at 0x2b86dc45bfc0> >
<openmm.openmm.CMMotionRemover; proxy of <Swig Object of type 'OpenMM::CMMotionRemover *' at 0x2b86dc45ba50> >
<openmm.openmm.MonteCarloBarostat; proxy of <Swig Object of type 'OpenMM::MonteCarloBarostat *' at 0x2b86dc45be10> >
#"Progress (%)"	"Step"	"Total Energy (kJ/mole)"	"Temperature (K)"	"Box Volume (nm^3)"	"Density (g/mL)"
1.0%	10000	-31748.523694680247	303.2538797879996	30.375639028285036	0.9809008029365257
2.0%	20000	-31910.837938382465	301.7196977206696	30.87918202784663	0.9649053749443719
3.0%	30000	-31357.173142278276	311.7389626421665	30.793020984510182	0.9676052482003273
4.0%	40000	-31675.008618639957	316.7191814579098	30.087432089494005	0.9902968330407604
5.0%	50000	-31045.49373020226	312.5925293672127	30.611320025068412	0.9733487052552636
6.0%	60000	-31371.59009176161	309.15483067154264	30.312792402299166	0.9829344758846742
7.0%	70000	-31451.98993204994	304.4791310021399	30.51417355964295	0.9764475073957567
8.0%	80000	-31375.31171436183	314.36805240835724	30.30247365567485	0.9832691895427144
9.0%	90000	-31647.27778844518	301.7133105775079	30.843090689280178	0.9660344682289114
10.0%	100000	-31313.20360191207	302.9552917468233	30.87101135270316	0.9651607578430008
11.0%	110000	-31234.008377665363	319.5073985393574	30.03870241354663	0.9919033219996186
12.0%	120000	-31191.321515843214	317.5378198958077	30.326363622830222	0.9824946071056238
13.0%	130000	-31458.001204583736	311.22738480197495	30.671898473773087	0.9714262955725539
14.0%	140000	-31401.558709309844	311.87319661685314	30.193221233292522	0.986827092158716
15.0%	150000	-31624.37753816595	309.04760860583855	30.72480519121991	0.9697535436634562
16.0%	160000	-32078.294640656153	293.81176712863913	30.48091925258169	0.977512799586293
17.0%	170000	-31411.14067069342	311.8736713681204	30.553081994171535	0.9752040307501155
18.0%	180000	-31844.50452144345	298.87947569902576	30.90905944301364	0.9639726749850851
19.0%	190000	-31370.92462999135	307.59277354673264	30.732132530404492	0.9695223292128209
20.0%	200000	-31659.8714802232	303.9068789154379	30.669290757502534	0.9715088929882111
21.0%	210000	-31386.09276879247	310.25213510888	30.583487863133836	    0.9742344903856158
22.0%	220000	-30950.411028314324	312.1969153486915	30.78296669821601	0.9679212859714923
23.0%	230000	-31912.788004587812	312.70841612521434	30.3282649299141	0.9824330136066
24.0%	240000	-31368.905192100385	312.54072096200247	31.057966426573564	0.9593509215420328
25.0%	250000	-31739.173071755038	301.3726986514681	30.4670002744988	0.9779593804479005
26.0%	260000	-31621.89661921299	308.3408215149942	30.705537592736142	0.9703620600214938
27.0%	270000	-31213.627050259558	314.4742814749691	30.48193129036567	0.9774803449534785
28.0%	280000	-31675.023572261154	311.9652236767699	30.474757022518943	0.9777104601863719
29.0%	290000	-31604.39176462445	305.42381336310694	30.522992560450724	0.9761653826552216
30.0%	300000	-31735.43874514749	312.2008331372671	30.657761711148467	0.9718742350887265
31.0%	310000	-31188.001414668222	323.3624653199736	30.673571364833514	0.9713733154240608
32.0%	320000	-31398.1171626937	309.41739628000227	30.761885414610866	0.9685846075742485
33.0%	330000	-31578.380256260687	311.00824258356755	30.70670463821322	0.9703251802368793
34.0%	340000	-31369.706847931666	311.1410761136609	30.278842166760075	0.9840365938848272
35.0%	350000	-31510.420864960703	310.6529686101187	30.728608766931636	0.9696335079321605
36.0%	360000	-31648.684129452275	306.72213803868357	30.41979455429953	0.9794769869129037
37.0%	370000	-31140.39513067511	308.97264860345524	30.62908523987065	0.9727841520310677
38.0%	380000	-31392.329800808744	308.70470200758695	30.441727390999283	0.9787712875112504
39.0%	390000	-31666.230707060487	304.88159335140705	30.565512709202324	0.974807424167
40.0%	400000	-30935.337213634455	324.55899004303893	31.064683876780254	0.9591434707895395
41.0%	410000	-31292.908064178133	311.47843105883607	30.094472787203966	0.9900651499442041
42.0%	420000	-31478.578421127924	305.7233703997532	30.531480351092306	0.9758940074285946
43.0%	430000	-31636.31706621399	309.15890420731233	30.473687171231678	0.9777447850381209
44.0%	440000	-31316.00679699442	310.94966027196665	30.735088831118937	0.9694290742503814
45.0%	450000	-31292.522997400665	308.6415475802371	30.677197207246067	0.9712585055037903
46.0%	460000	-31403.167059042433	308.9453369981056	30.648460304997318	0.9721691861857292
47.0%	470000	-31487.31016401894	304.44861561342293	30.48506044191174	0.9773800110821224
48.0%	480000	-31178.50065045239	318.85391883274605	30.375779913637192	0.9808962534383582
49.0%	490000	-31667.968470188614	305.5516083053611	30.543725296557014	0.9755027726075542
50.0%	500000	-31130.089561063738	313.90820761258385	30.993554916638505	0.9613446664215832
51.0%	510000	-31237.40913981566	316.91322121275095	30.350627734032756	0.9817091420203016
52.0%	520000	-31336.80877165048	310.855067377349	31.211691537824684	0.9546258867913789
53.0%	530000	-31583.8517793591	312.24397818319807	30.744524636010524	0.9691315466837932
54.0%	540000	-31255.119667524414	312.82216792100814	30.331724853004594	0.9823209480157007
55.0%	550000	-31232.986389775237	309.6171010618774	30.038513485047556	0.9919095606174498
56.0%	560000	-31594.69509789435	309.1367583605014	30.6289212574745	0.9727893601634355
57.0%	570000	-31182.30522278644	315.6211508688352	30.900080835758548	0.9642527756132789
58.0%	580000	-31384.604747901612	308.6005003148336	30.88994367574473	0.9645692146713348
59.0%	590000	-31886.729808983568	304.5141474361421	30.947762922726046	0.962767124297536
60.0%	600000	-31229.007307347783	313.6396840738564	30.409662828775325	0.9798033237106695
61.0%	610000	-31295.81097355712	306.9517400745183	30.988153283896317	0.9615122411324444
62.0%	620000	-31488.705790235603	313.64805127287946	30.366615660771426	0.9811922752737191
63.0%	630000	-31612.963486173365	307.4867532067323	30.376701675903526	0.9808664887468771
64.0%	640000	-31659.675640287518	307.7771031515311	30.52342543504118	0.9761515389537297
65.0%	650000	-30931.31966393435	316.83250506729433	31.043119099906274	0.9598097606321015
66.0%	660000	-31910.914622717944	313.7082294346814	29.969853193472392	0.994182004169593
67.0%	670000	-31306.286531359714	304.046218007398	30.850907390993754	0.9657897038468632
68.0%	680000	-31420.627004059323	311.11975083129306	30.09185956070057	0.9901511288277858
69.0%	690000	-31172.06823005149	320.3771288596185	30.755048945102693	0.9687999120319843
70.0%	700000	-31480.16931767849	311.31877757197225	30.153736559573904	0.9881192884234675
71.0%	710000	-31432.700127009244	316.2319804233168	30.92705698206687	0.9634117054795047
72.0%	720000	-31495.331460875983	307.0257957758642	30.97132374943997	0.9620347181025359
73.0%	730000	-31577.04044854449	309.0888708883517	30.525351791072318	0.9760899371934212
