<openmm.openmm.HarmonicBondForce; proxy of <Swig Object of type 'OpenMM::HarmonicBondForce *' at 0x2b163d4c3a80> >
<openmm.openmm.HarmonicAngleForce; proxy of <Swig Object of type 'OpenMM::HarmonicAngleForce *' at 0x2b163d4c3e40> >
<openmm.openmm.NonbondedForce; proxy of <Swig Object of type 'OpenMM::NonbondedForce *' at 0x2b163d4c3ba0> >
<openmm.openmm.CMMotionRemover; proxy of <Swig Object of type 'OpenMM::CMMotionRemover *' at 0x2b163d4c3a80> >
<openmm.openmm.MonteCarloBarostat; proxy of <Swig Object of type 'OpenMM::MonteCarloBarostat *' at 0x2b163d4c3e40> >
#"Progress (%)"	"Step"	"Total Energy (kJ/mole)"	"Temperature (K)"	"Box Volume (nm^3)"	"Density (g/mL)"
0.1%	10000	-31699.35866367811	313.3650246899655	30.74453378616196	0.9691312582520195
0.2%	20000	-31456.748633783252	304.2931517741193	31.04590236649462	0.9597237136425053
0.3%	30000	-31966.448397166037	315.31963738242604	30.066336668998193	0.9909916542402517
0.4%	40000	-31622.406087818963	308.4983819807212	31.127234979018883	0.9572160435271018
0.5%	50000	-31688.08213087049	305.1103313631613	30.572591689830105	0.9745817107964142
0.6%	60000	-31609.3046879521	307.1489485027452	30.710813473936543	0.9701953592939344
0.7%	70000	-31453.621515411127	304.0918770399457	30.511353283922084	0.9765377640019514
0.8%	80000	-31436.653355878254	313.4204866081517	30.89417254780171	0.9644371820107214
0.9%	90000	-31414.099525339843	306.98668402498146	30.330149800159308	0.9823719602070137
1.0%	100000	-31382.19239515619	313.40821716559185	30.469969814462228	0.9778640705581787
1.1%	110000	-31537.807038933446	310.25483252236916	30.084888361381733	0.9903805643102084
1.2%	120000	-31758.79818100523	307.685331671113	30.45396797863068	0.9783778827593874
1.3%	130000	-31294.729100572353	316.2421401022677	30.774755671712775	0.9681795374883181
1.4%	140000	-31534.96091967536	305.4682221108819	30.522111325420724	0.9761935665223563
1.5%	150000	-31621.787442735804	307.9846579400015	30.173973891295315	0.9874565683623914
1.6%	160000	-31729.544351780147	301.715160539298	30.93945541153097	0.9630256355918355
1.7%	170000	-31641.087615308294	307.1123844440353	30.497875545626965	0.9769693193212333
1.8%	180000	-31201.174709303246	303.13830860111653	31.138950544518927	0.9568559052739002
1.9%	190000	-31281.59491829056	314.04265139657434	30.356434632292295	0.9815213503650158
2.0%	200000	-31501.678745805926	306.6292258279984	30.662369885160217	0.971728174441438
2.1%	210000	-31826.298266324622	306.3670491887202	30.535092837289355	0.9757785532640892
2.2%	220000	-31153.07215681247	313.22554286309656	30.582699639052567	0.9742595998460359
2.3%	230000	-31544.287763778062	304.6376635084303	30.686641402439246	0.9709595886301997
2.4%	240000	-31583.59539285436	305.39799384122665	30.214985883672508	0.9861162546051582
2.5%	250000	-31304.68748373905	311.13808044775243	30.53135654902855	0.975897964596103
2.6%	260000	-31186.21224233712	312.8637457574995	30.87933621021739	0.9649005571141812
2.7%	270000	-31086.30390704813	310.42359768760065	30.83041675691245	0.9664315908371383
2.8%	280000	-31442.710538197716	306.6556324907337	30.43329807657279	0.9790423843510768
2.9%	290000	-31727.619648138003	309.97292406109733	30.58533403095223	0.9741756844114228
3.0%	300000	-31230.336199824873	310.22974664930916	30.881959849675816	0.9648185820326958
3.1%	310000	-31848.85151610378	297.59126999041746	30.418894393911607	0.9795059717396725
3.2%	320000	-31497.519128069456	310.3142502820436	31.058342484294975	0.9593393056188144
3.3%	330000	-31401.013968772197	314.7085117952938	30.412586795567382	0.9797091221749522
3.4%	340000	-31387.734717990214	305.0072818515056	30.633436365477365	0.9726459792846867
3.5%	350000	-31403.568566313887	302.4113945281405	30.55351889552482	0.9751900857782706
3.6%	360000	-31612.036812698876	301.35490382217677	30.732761391811984	0.9695024906057795
3.7%	370000	-31110.96016334457	310.7243790016598	31.13616427718584	0.9569415309896306
3.8%	380000	-31875.694233744347	303.2709233426424	30.219457201948384	0.9859703472977607
3.9%	390000	-31605.34958331933	305.28456005731624	30.108654229780303	0.9895988204974075
4.0%	400000	-31596.26908664516	306.3952820691196	30.69798736901361	0.9706007222685314
4.1%	410000	-31506.775679886283	301.7064737418545	30.742128366872237	0.9692070879732103
4.2%	420000	-31345.085724827775	304.2846104416538	30.600668785789765	0.9736875007905446
4.3%	430000	-31657.71434350632	312.0217244498885	31.04107415606336	0.9598729915966779
